Value,Quarter,Year,Age,Gender,Started,Profession,Grade,Company,City,Skill,Industry,SourceType,Created
800000,3,2025,29,Male,2022,Backend Developer,Middle,Local,Almaty,PHP,IT продукт,,2025-09-01 17:08:55
500000,3,2025,19,Male,2024,Backend Developer,Junior,Foreign,Almaty,Java,IT продукт,,2025-08-29 20:02:53
1160000,1,2025,23,Male,2022,Frontend Developer,Senior,Local,Almaty,Javascript,E-Commerce,,2025-08-28 15:57:36
500000,3,2025,20,Male,2023,Backend Developer,Junior,Local,Astana,Java,Государственное учреждение (Government),,2025-08-28 11:44:12
1200000,3,2025,33,Male,2017,Backend Developer,Middle,Local,Almaty,PHP,IT продукт,,2025-08-28 06:07:45
960000,3,2025,24,Male,2024,Quality Assurance (QA),Middle,Local,Almaty,Java,Авиа-компания,,2025-08-27 20:19:52
1000000,3,2025,22,Male,2022,Backend Developer,Middle,Local,Almaty,Golang,Продажи и маркетинг,,2025-08-27 14:56:20
1200000,3,2025,29,Male,2022,Frontend Developer,Middle,Local,Astana,React,Энергетика,,2025-08-27 09:29:46
500000,3,2025,24,Male,2023,Системный аналитик | System Analyst,Junior,Local,Astana,,Государственное учреждение (Government),,2025-08-27 08:39:59
1310000,3,2025,21,Male,2023,Backend Developer,Middle,Foreign,Almaty,Golang,IT продукт,,2025-08-27 07:02:48
700000,3,2025,22,Male,2025,Backend Developer,Junior,Local,Almaty,Java,Банк,,2025-08-27 06:33:46
1900000,3,2025,41,Male,2021,Delivery Manager,Senior,Local,Almaty,BI,Банк,,2025-08-27 06:28:54
1400000,1,2025,28,Male,2019,Backend Developer,Senior,Local,Almaty,Spring,Финтех,,2025-08-27 06:25:21
600000,3,2025,22,Male,2022,Backend Developer,Junior,Local,Almaty,Java,Продажи и маркетинг,,2025-08-27 06:09:29
800000,3,2025,27,Male,,Исследователь UX/CX,Middle,Local,Almaty,Дата аналитика | Data Analysis,Банк,,2025-08-22 10:18:35
600000,4,2025,20,Male,2024,Backend Developer,Middle,Local,Astana,Spring,Государственное учреждение (Government),,2025-08-22 09:58:09
1000000,3,2025,33,Male,2018,Frontend Developer,Senior,Local,Almaty,Vue,IT аутсорс/аутстафф,,2025-08-21 16:15:22
900000,3,2025,25,PreferNotToSay,2019,Fullstack Developer,Middle,Local,Almaty,Laravel,Торговля (FMCG, Retail),,2025-08-21 05:15:46
850000,3,2025,27,Male,2023,Frontend Developer,Middle,Local,Almaty,React,Финтех,,2025-08-20 12:34:06
2450000,3,2025,30,Male,2017,Head Of Department,Lead,Local,Almaty,.NET,Банк,,2025-08-19 17:02:42
2000000,3,2025,24,Male,2019,Frontend Developer,Senior,Foreign,Astana,Javascript,E-Commerce,,2025-08-19 08:44:35
1100000,3,2025,22,Female,2022,Frontend Developer,Middle,Local,Almaty,React,Банк,,2025-08-19 07:24:10
3000000,3,2025,44,Male,2014,Product Manager,Senior,Foreign,,,Образование (Education),,2025-08-19 05:20:24
1300000,3,2025,31,Male,2021,Frontend Developer,Senior,Local,Shymkent,Angular,Финтех,,2025-08-18 19:40:01
900000,3,2025,22,Male,2022,PL/SQL разработчик,Middle,Local,Almaty,Spring,Банк,,2025-08-17 16:07:08
300000,3,2025,33,Male,2023,Technical Support,Middle,Local,Almaty,,E-Commerce,,2025-08-17 07:31:42
76000,3,2025,27,Female,2025,Talent Acquisition,Trainee,Local,Balqash,.NET,Нефть и газ,,2025-08-16 09:20:26
600000,3,2025,22,Male,2023,Backend Developer,Junior,Local,Almaty,Java,Финтех,,2025-08-16 08:26:45
650000,3,2025,21,Male,2023,Backend Developer,Junior,Local,Aktau,Dart,Телеком,,2025-08-15 13:17:28
1000000,3,2025,26,Male,2019,Backend Developer,Senior,Local,Almaty,Java,IT аутсорс/аутстафф,,2025-08-15 12:39:02
1450000,3,2025,27,Male,2020,Product Owner,Senior,Local,Almaty,,Банк,,2025-08-14 12:38:47
1600000,3,2025,32,Female,2015,Data Scientist,Senior,Local,Astana,Python,Медицина,,2025-08-14 11:08:35
1600000,3,2025,25,Male,2022,Тимлид | Teamleader,Lead,Local,Almaty,Java,Банк,,2025-08-14 10:23:12
1000000,3,2025,22,Male,2021,Fullstack Developer,Middle,Local,,Javascript,Blockchain,,2025-08-14 04:28:51
450000,3,2025,23,Female,2023,Quality Assurance (QA),Middle,Local,Astana,Javascript,Другое | Other,,2025-08-13 11:07:32
2000000,3,2025,33,Female,2018,Chief Product Officer (CPO),Lead,Local,Almaty,,IT продукт,,2025-08-13 09:18:39
300000,3,2025,20,Male,2025,Backend Developer,Junior,Local,Astana,Java,IT аутсорс/аутстафф,,2025-08-13 07:20:03
900000,3,2025,23,Female,2024,Product Manager,Middle,Local,Astana,,Стартап,,2025-08-13 06:27:49
650000,3,2025,22,Male,2023,Android Developer,Middle,Local,Karaganda,Kotlin,Финтех,,2025-08-12 17:48:37
300000,3,2025,33,Male,2023,Technical Support,Junior,Local,Almaty,,E-Commerce,,2025-08-12 11:51:54
2000000,3,2025,38,Male,2010,Chief Technical Officer (CTO),Lead,Local,Astana,Java,IT продукт,,2025-08-12 07:05:10
2100000,3,2025,34,Male,2013,Data Scientist,Senior,Local,Almaty,Python,Продажи и маркетинг,,2025-08-11 14:57:43
900000,3,2025,26,Female,2023,Product Manager,Middle,Local,Almaty,,Финтех,,2025-08-11 13:46:03
